"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANTICHOLINESTÉRASIQUES","BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE","Risque de bradycardie excessive (addition des effets bradycardisants).","Précaution d'emploi","Surveillance clinique régulière, notamment en début d'association."
"ANTICHOLINESTÉRASIQUES","MÉDICAMENTS ATROPINIQUES","Risque de moindre efficacité de l'anticholinestérasique par antagonisme des récepteurs de l'acétylcholine.","A prendre en compte","Attention au risque de crise cholinergique en cas d'interruption brutale de l'atropinique."
"ANTICHOLINESTÉRASIQUES","PILOCARPINE","Risque d'addition des effets indésirables cholinergiques, notamment digestifs.","A prendre en compte",""
"ANTICHOLINESTÉRASIQUES","SUXAMETHONIUM","Risque d'allongement du bloc moteur, majoré en cas de déficit partiel en pseudocholinestérase.","A prendre en compte",""
"ANTICOAGULANTS ORAUX","AUTRES ANTICOAGULANTS ORAUX","Risque de majoration des événements hémorragiques lors du relais d'un anticoagulant oral par un autre.","A prendre en compte","Tenir compte de la demi-vie et observer un délai de carence. Informer le patient."
"ANTICOAGULANTS ORAUX","ACIDE ACETYLSALICYLIQUE","Majoration du risque hémorragique, notamment en cas d'antécédent d'ulcère gastro-duodénal.","Contre-indication / Association déconseillée / A prendre en compte","CI si doses anti-inflammatoires/antalgiques + antécédent d'ulcère. Association déconseillée si antalgique sans ulcère ou antiagrégant avec ulcère. A prendre en compte si antiagrégant sans ulcère."
"ANTICOAGULANTS ORAUX","ANTIAGRÉGANTS PLAQUETTAIRES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTICOAGULANTS ORAUX","ANTI-INFLAMMATOIRES NON STÉROÏDIENS","Augmentation du risque hémorragique de l'anticoagulant oral (agression de la muqueuse gastroduodénale par AINS).","Association DECONSEILLEE","Si l'association ne peut être évitée, surveillance clinique étroite, voire biologique."
"ANTICOAGULANTS ORAUX","COBIMÉTINIB","Augmentation du risque hémorragique.","Précaution d'emploi","Surveillance clinique et, le cas échéant, contrôle plus fréquent de l'INR."
"ANTICOAGULANTS ORAUX","DÉFIBROTIDE","Risque hémorragique accru.","Association DECONSEILLEE",""
"ANTICOAGULANTS ORAUX","GLUCOCORTICOÏDES (SAUF HYDROCORTISONE)","Impact sur le métabolisme de l'AVK/facteurs de coagulation. Risque hémorragique propre à la corticothérapie à fortes doses ou > 10 jours.","Précaution d'emploi","Si justifié, renforcer la surveillance (contrôle biologique au 8e jour puis tous les 15 jours pour AVK)."
"ANTICOAGULANTS ORAUX","HÉPARINES","Augmentation du risque hémorragique. AOD ne doivent pas être administrés conjointement à l'héparine.","Contre-indication / Précaution d'emploi","AOD + héparine contre-indiqué. Lors du relais AOD/héparine, respecter l'intervalle. Lors du relais AVK/héparine, renforcer la surveillance."
"ANTICOAGULANTS ORAUX","IBRUTINIB","Augmentation du risque hémorragique.","Association DECONSEILLEE","Si inévitable, surveillance clinique et biologique étroite (INR plus fréquent pour AVK)."
"ANTICOAGULANTS ORAUX","IMATINIB","Augmentation du risque hémorragique. Pour apixaban et rivaroxaban: risque de diminution de leur métabolisme surajouté.","Association DECONSEILLEE","Si inévitable, surveillance clinique et biologique étroite (INR plus fréquent pour AVK)."
"ANTICOAGULANTS ORAUX","INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTICOAGULANTS ORAUX","IPILIMUMAB","Augmentation du risque d'hémorragies digestives.","Précaution d'emploi","Surveillance clinique étroite."
"ANTICOAGULANTS ORAUX","MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES","Augmentation du risque hémorragique.","A prendre en compte",""
